facility_code,facility_name,network_id,network_region,latitude_api,longitude_api,facility_type,registered_capacity_mw
ADP,Adelaide Desalination,NEM,SA1,-35.100751,138.483357,"battery, battery_charging, battery_discharging, hydro, solar_utility",49.69
ALDGASF,Aldoga,NEM,QLD1,-23.839544,151.0849,solar_utility,535.21
ANGASTON,Angaston,NEM,SA1,-34.503389,139.02458,distillate,50.0
APPIN,Appin,NEM,NSW1,-34.210868,150.792711,gas_wcmg,55.6
ARWF,Ararat,NEM,VIC1,-37.263393,143.082116,wind,241.59
AVLSF,Avonlie,NEM,NSW1,-34.913826,146.590545,solar_utility,254.1
DEIBDL,Bairnsdale,NEM,VIC1,-37.842918,147.563855,gas_ocgt,92.0
BAKING,Baking Board,NEM,QLD1,-26.720639,150.553781,solar_utility,17.5
BHWF,Bald Hills,NEM,VIC1,-38.746897,145.949104,wind,106.6
BALBESS,Ballarat,NEM,VIC1,-37.567603,143.919894,"battery, battery_charging, battery_discharging",90.0
BANGOWF,Bango,NEM,NSW1,-34.767208,148.921499,wind,243.8
BAPS,Banimboola,NEM,VIC1,-36.534342,147.45934,hydro,12.85
BANNSP,Bannerton,NEM,VIC1,-34.687324,142.77895,solar_utility,100.0
BARCALDN,Barcaldine,NEM,QLD1,-23.552279,145.314856,gas_ccgt,37.0
BARCSF,Barcaldine,NEM,QLD1,-23.547776,145.318817,solar_utility,20.0
BARKIPS,Barker Inlet,NEM,SA1,-34.803695,138.523864,gas_recip,211.0
BARRON,Barron Gorge,NEM,QLD1,-16.850852,145.646758,hydro,60.0
BASTYAN,Bastyan,NEM,TAS1,-41.736045,145.532064,hydro,79.9
BAYSW,Bayswater,NEM,NSW1,-32.394981,150.94949,coal_black,2640.0
BBP31,Bell Bay Three,NEM,TAS1,-41.139324,146.905522,gas_ocgt,163.0
BRYB1WF1,Berrybank,NEM,VIC1,-37.885519,143.453446,wind,289.6
BERYLSF,Beryl,NEM,NSW1,-32.356446,149.470517,solar_utility,98.0
BIALAWF,Biala,NEM,NSW1,-34.587836,149.369848,wind,110.0
BLAYNEY,Blayney,NEM,NSW1,-33.621944,149.198333,wind,9.9
SNOWY6,Blowering,NEM,NSW1,-35.398563,148.246201,hydro,80.0
BLUEGSF,Blue Grass,NEM,QLD1,-26.682643,150.504537,solar_utility,183.0
BLYTHB,Blyth,NEM,SA1,-33.848475,138.403204,"battery, battery_charging, battery_discharging",843.0
BOCOROCK,Boco Rock,NEM,NSW1,-36.574527,149.124863,wind,113.18
BODWF,Bodangora,NEM,NSW1,-32.414669,149.099633,wind,113.19
MCKAY,Bogong / Mackay,NEM,VIC1,-36.858282,147.234146,hydro,300.0
BOLIVAR,Bolivar,NEM,SA1,-34.495482,138.387641,"battery, battery_charging, battery_discharging, bioenergy_biogas, solar_utility",27.310000000000002
BOLIVPS,Bolivar,NEM,SA1,-34.7772,138.5826,gas_ocgt,128.0
BOMENSF,Bomen,NEM,NSW1,-35.046577,147.442585,solar_utility,121.0
BBATTERY,Bouldercombe,NEM,QLD1,-23.535251,150.489057,"battery, battery_charging, battery_discharging",201.0
BRAEMARA,Braemar,NEM,QLD1,-27.110488,150.905683,gas_ocgt,504.0
B2PS,Braemar 2,NEM,QLD1,-27.112874,150.905442,gas_ocgt,519.0
BRNDBES,Brendale,NEM,QLD1,-27.329333,152.974384,"battery, battery_charging, battery_discharging",645.0
BRDD,Broadsound,NEM,QLD1,-22.810001,149.36302,"battery, battery_charging, battery_discharging, solar_utility",1088.0
BWTR1,Broadwater,NEM,NSW1,-29.016483,153.445756,bioenergy_biomass,38.0
BHILLGT,Broken Hill,NEM,NSW1,-31.986313,141.42062,distillate,50.0
BROKENH,Broken Hill,NEM,NSW1,-31.987538,141.391994,solar_utility,53.0
BHB,Broken Hill Battery,NEM,NSW1,-31.986306,141.422951,"battery, battery_charging, battery_discharging",198.0
BROOKLYN,Brooklyn,NEM,VIC1,-37.818597,144.828492,bioenergy_biogas,2.83
BROWNMT,Brown Mountain,NEM,NSW1,-36.594993,149.473997,hydro,5.0
BPLANDF,Browns Plains,NEM,QLD1,-27.674584,153.068499,bioenergy_biogas,2.0
BULGANA,Bulgana Green Power Hub,NEM,VIC1,-37.039507,142.982799,"battery, battery_charging, battery_discharging, wind",276.0
BUSF,Bundaberg,NEM,QLD1,-24.943515,152.020698,solar_utility,101.0
BNGSF1,Bungala One,NEM,SA1,-32.415846,137.841225,solar_utility,135.0
BNGSF2,Bungala Two,NEM,SA1,-32.415846,137.841225,solar_utility,135.0
BUNGAMB,Bungama,NEM,SA1,-33.191223,138.08733,"battery, battery_charging, battery_discharging",651.0
BDONGHYD,Burrendong,NEM,NSW1,-32.664624,149.107959,hydro,19.0
BURRIN,Burrinjuck,NEM,NSW1,-35.003008,148.582864,hydro,34.0
BUTLERSG,Butlers Gorge,NEM,TAS1,-42.266898,146.261823,hydro,14.4
CALL_B,Callide B,NEM,QLD1,-24.346016,150.61856,coal_black,700.0
CALLIDEC1,Callide C,NEM,QLD1,-24.346016,150.61856,coal_black,886.0
CANUNDA1,Canunda,NEM,SA1,-37.698303,140.383633,wind,46.0
CAPBES,Capital,NEM,NSW1,-35.338251,149.215529,"battery, battery_charging, battery_discharging",375.0
CAPTL_WF,Capital,NEM,NSW1,-35.123534,149.500249,wind,140.0
CESF,Capital East,NEM,NSW1,-35.180684,149.546482,solar_utility,0.2
CRWARP,Carwarp,NEM,VIC1,-34.454955,142.15808,solar_utility,186.0
LI_WY_CA,Catagunya / Liapootah / Wayatinah,NEM,TAS1,-42.376279,146.510051,hydro,173.7
CATHROCK,Cathedral Rocks,NEM,SA1,-34.848741,135.592649,wind,66.0
CTHLWF,Cattle Hill,NEM,TAS1,-42.149661,146.724045,wind,148.0
CETHANA,Cethana,NEM,TAS1,-41.480804,146.134511,hydro,85.0
CHALLWF,Challicum Hills,NEM,VIC1,-37.395466,143.10459,wind,52.5
CHPSTWF,Chepstowe,NEM,VIC1,-37.596503,143.499582,wind,6.15
CHYTWF,Cherry Tree,NEM,VIC1,-37.1018,145.2656,wind,57.6
CHILDSF,Childers,NEM,QLD1,-25.305189,152.402663,solar_utility,64.38
CHBESS,Chinchilla,NEM,QLD1,-26.918551,150.745399,"battery, battery_charging, battery_discharging",402.0
CBWWBA,Christies Beach,NEM,SA1,-35.125958,138.47135,"battery, battery_charging, battery_discharging, bioenergy_biogas, distillate, solar_utility",13.530000000000001
CLARESF,Clare,NEM,QLD1,-19.839817,147.204884,solar_utility,110.26
CLRKCWF,Clarke Creek,NEM,QLD1,-22.850446,149.453252,wind,449.0
CLAYTON,Clayton,NEM,VIC1,-37.950618,145.119681,bioenergy_biogas,11.0
CLEMGPWF,Clements Gap,NEM,SA1,-33.489773,138.111695,"battery, battery_charging, battery_discharging, wind",328.5
CLERMSF,Clermont,NEM,QLD1,-22.837763,147.579322,solar_utility,92.0
CLOVER,Clover,NEM,VIC1,-36.785257,147.220466,hydro,37.5
CLUNY,Cluny,NEM,TAS1,-42.506442,146.68104,hydro,19.0
CODRGTON,Codrington,NEM,VIC1,-38.282875,141.95496,wind,18.2
COHUNSF1,Cohuna,NEM,VIC1,-35.886553,144.217421,solar_utility,31.1
COLEASF,Coleambally,NEM,NSW1,-34.762456,145.928786,solar_utility,180.0
COLWF01,Collector,NEM,NSW1,-34.862066,149.388245,wind,226.0
CSPVPS,Collinsville,NEM,QLD1,-20.541215,147.807432,solar_utility,42.0
COLONGRA,Colongra,NEM,NSW1,-33.209801,151.544968,gas_ocgt,724.0
COLUMSF,Columboola,NEM,QLD1,-26.633781,150.298894,solar_utility,217.0
CPSA,Condamine A,NEM,QLD1,-26.668181,150.270023,gas_ccgt,143.0
CONDONG1,Condong,NEM,NSW1,-28.314766,153.433808,bioenergy_biomass,30.0
CBWF,Coonoer Bridge,NEM,VIC1,-36.415237,143.380189,wind,19.8
COOPGWF,Coopers Gap,NEM,QLD1,-26.717004,151.449177,wind,452.0
COPTNHYD,Copeton,NEM,NSW1,-29.910174,150.92348,hydro,22.5
CRWASF1,Corowa,NEM,NSW1,-35.979325,146.359356,solar_utility,36.0
CROOKWEL,Crookwell,NEM,NSW1,-34.5165,149.54248,wind,4.8
CROOKWF2,Crookwell 2,NEM,NSW1,-34.556855,149.609565,wind,96.04
CROOKWF3,Crookwell 3,NEM,NSW1,-34.484645,149.54447,wind,57.0
CROWLWF,Crowlands,NEM,VIC1,-36.97615,143.097998,wind,79.95
CRURWF1,Crudine Ridge,NEM,NSW1,-32.864748,149.81297,wind,141.0
CULCSF,Culcairn,NEM,NSW1,-35.709592,146.981761,solar_utility,466.0
CULLERIN,Cullerin Range,NEM,NSW1,-34.809208,149.399185,wind,30.0
DALNTH,Dalrymple North,NEM,SA1,-34.933952,137.743532,"battery, battery_charging, battery_discharging",90.0
DDPS1,Darling Downs,NEM,QLD1,-27.116855,150.894761,gas_ccgt,644.0
DDSF,Darling Downs,NEM,QLD1,-27.113797,150.879733,solar_utility,121.0
DARLSF,Darlington Point,NEM,NSW1,-34.648971,146.061179,solar_utility,324.0
DPNTB,Darlington Point,NEM,NSW1,-34.647016,146.035236,"battery, battery_charging, battery_discharging",75.0
DARTM,Dartmouth,NEM,VIC1,-36.556485,147.520456,hydro,185.0
DAYDSF,Daydream,NEM,QLD1,-20.479752,147.763711,solar_utility,167.0
DEVILS_G,Devils Gate,NEM,TAS1,-41.350513,146.263394,hydro,60.0
DIAPURWF,Diapur 2,NEM,VIC1,-36.339953,141.447361,wind,8.0
DRYCGT,Dry Creek,NEM,SA1,-34.847703,138.5816,gas_ocgt,156.0
DULAWF,Dulacca,NEM,QLD1,-26.631438,149.867554,wind,180.0
DUNDWF,Dundonnell,NEM,VIC1,-37.863894,142.943454,wind,335.0
EASTCRK,Eastern Creek,NEM,NSW1,-33.815468,150.854307,bioenergy_biogas,5.06
EASTCRK2,Eastern Creek 2,NEM,NSW1,-33.815468,150.854307,bioenergy_biogas,6.74
EDENVSF,Edenvale,NEM,QLD1,-26.931732,150.582727,solar_utility,180.0
EILDON,Eildon,NEM,VIC1,-37.221982,145.921476,hydro,120.0
EILDONPD,Eildon,NEM,VIC1,-37.221774,145.922582,hydro,4.5
ELAINEWF,Elaine,NEM,VIC1,-37.6352,144.0237,wind,83.6
EMERASF,Emerald,NEM,QLD1,-23.507996,148.126404,solar_utility,88.0
ERARING,Eraring,NEM,NSW1,-33.061039,151.51984,coal_black,2880.0
ERB,Eraring,NEM,NSW1,-33.066837,151.515026,"battery, battery_charging, battery_discharging",1843.8000000000002
ERGT01,Eraring,NEM,NSW1,-33.062117,151.517224,distillate,41.5
FWF,Ferguson,NEM,VIC1,-38.610902,143.179321,wind,12.0
FINLEYSF,Finley,NEM,NSW1,-35.648941,145.50575,solar_utility,162.36
FISHER,Fisher,NEM,TAS1,-41.673312,146.268511,hydro,43.2
FLYCRKWF,Flyers Creek,NEM,NSW1,-33.517716,149.052949,wind,145.0
GANGARR,Gangarri,NEM,QLD1,-26.270557,149.758054,solar_utility,162.0
GANNBESS,Gannawarra,NEM,VIC1,-35.734598,143.779894,"battery, battery_charging, battery_discharging",90.0
GANNSF,Gannawarra,NEM,VIC1,-35.729012,143.783189,solar_utility,55.0
GERMCRK,German Creek,NEM,QLD1,-22.928526,148.549097,gas_wcmg,45.0
GIRGSF,Girgarre,NEM,VIC1,-36.426125,144.922155,solar_utility,93.31
GSTONE,Gladstone,NEM,QLD1,-23.853641,151.217515,coal_black,1680.0
GLBWNHYD,Glenbawn,NEM,NSW1,-32.107937,150.999481,hydro,5.5
GESF,Glenellen,NEM,NSW1,-35.929882,146.909107,solar_utility,264.0
GLENMAGG,Glenmaggie,NEM,VIC1,-37.904836,146.800388,hydro,3.8
GLENNCRK,Glennies Creek,NEM,NSW1,-32.459876,151.128697,gas_wcmg,12.78
GLENSF,Glenrowan,NEM,VIC1,-36.464,146.221,solar_utility,126.0
GLRWNSF,Glenrowan West,NEM,VIC1,-36.4907,146.157473,solar_utility,132.0
GPWFEST,Golden Plains East,NEM,VIC1,-37.9729,143.783,wind,756.4
GPWFWST,Golden Plains West,NEM,VIC1,-37.90844,143.664887,wind,266.0
GOONUMSF,Goonumbla,NEM,NSW1,-33.109212,148.092982,solar_utility,85.0
GOESF1,Goorambat East,NEM,VIC1,-36.427352,145.918853,solar_utility,348.6
GORDON,Gordon,NEM,TAS1,-42.740519,145.982796,hydro,457.0
GSWF,Goyder South,NEM,SA1,-33.682196,138.936249,wind,412.0
GRANGEAV,Grange Avenue,NEM,NSW1,-33.713011,150.83316,bioenergy_biogas,2.0
GRANWF,Granville Harbour,NEM,TAS1,-41.778439,145.065517,wind,110.0
GREENB,Greenbank,NEM,QLD1,-27.733562,152.955042,"battery, battery_charging, battery_discharging",777.5999999999999
GRIFSF,Griffith,NEM,NSW1,-34.317617,146.121416,solar_utility,27.2
GROSV1,Grosvenor 1,NEM,QLD1,-21.929194,148.032416,gas_wcmg,21.0
GROSV2,Grosvenor 2,NEM,QLD1,-21.929194,148.032416,gas_wcmg,15.21
GULLRGWF,Gullen Range,NEM,NSW1,-34.615245,149.45808,"solar_utility, wind",175.0
GNNDHSF,Gunnedah,NEM,NSW1,-30.937263,150.344174,solar_utility,144.0
GUNNING,Gunning,NEM,NSW1,-34.691531,149.373013,wind,46.5
GUSF,Gunsynd,NEM,QLD1,-28.408388,150.343437,solar_utility,122.78
SNOWY3,Guthega,NEM,NSW1,-36.350097,148.413602,hydro,60.0
HLMSEW01,Hallam,NEM,VIC1,-38.143332,145.119964,hydro,0.25
HALAMRD,Hallam Road,NEM,VIC1,-38.052181,145.267798,bioenergy_biogas,8.98
AGLHAL,Hallett,NEM,SA1,-33.349528,138.751607,gas_ocgt,217.0
HALLWF,Hallett 1,NEM,SA1,-33.328434,138.704669,wind,95.0
HALLWF2,Hallett 2,NEM,SA1,-33.53821,138.857215,wind,71.4
HAMISF,Hamilton,NEM,QLD1,-20.496081,147.738803,solar_utility,57.5
HAMPTON,Hampton,NEM,NSW1,-33.649722,150.05,wind,1.32
HVWW,Happy Valley,NEM,SA1,-35.063118,138.56476,"battery, battery_charging, battery_discharging, solar_utility",26.0
HASTING,Hastings,NEM,VIC1,-38.295952,145.221926,gas_ocgt,44.46
HAUGHT1,Haughton,NEM,QLD1,-19.750134,147.048103,solar_utility,132.0
HD1WF,Hawkesdale,NEM,VIC1,-38.148008,142.360925,wind,94.6
HAYMSF,Hayman,NEM,QLD1,-20.510097,147.755711,solar_utility,57.75
HBESS,Hazelwood BESS,NEM,VIC1,-38.267845,146.390293,"battery, battery_charging, battery_discharging",600.0
HEPWIND,Hepburn,NEM,VIC1,-37.424555,144.115711,wind,4.1
HILLSTN,Hillston Sun,NEM,NSW1,-33.531624,145.52242,solar_utility,110.0
HORNSDAL,Hornsdale,NEM,SA1,-33.05982,138.537673,wind,102.4
HORNSDAL2,Hornsdale 2,NEM,SA1,-33.05982,138.537673,wind,102.4
HORNSDAL3,Hornsdale 3,NEM,SA1,-33.05982,138.537673,wind,112.0
HORNSDPR,Hornsdale Power Reserve,NEM,SA1,-33.086389,138.518659,"battery, battery_charging, battery_discharging",450.0
HUGSF,Hughenden,NEM,QLD1,-20.85484,144.186257,solar_utility,20.97
HUMENSW,Hume,NEM,NSW1,-36.106639,147.032526,hydro,29.0
HUMEV,Hume,NEM,VIC1,-36.106887,147.032572,hydro,29.0
HUNTER,Hunter,NEM,NSW1,-32.793406,151.478353,gas_ocgt,750.0
HEZ,Hunter Economic Zone,NEM,NSW1,-32.835481,151.451033,distillate,28.0
INVICTA,Invicta Sugar Mill,NEM,QLD1,-19.520476,147.107439,bioenergy_biomass,50.3
ICSM,Isis Central Sugar Mill,NEM,QLD1,-25.197619,152.206949,bioenergy_biomass,25.0
JACKSGUL,Jacks Gully,NEM,NSW1,-34.072955,150.743691,bioenergy_biogas,2.3
JEERA,Jeeralang A,NEM,VIC1,-38.275046,146.425572,gas_ocgt,204.0
JEERB,Jeeralang B,NEM,VIC1,-38.273845,146.424827,gas_ocgt,228.0
JEMALNG1,Jemalong,NEM,NSW1,-33.409099,147.655008,solar_utility,55.0
JNDSHPS,Jindabyne,NEM,NSW1,-36.434918,148.63057,hydro,1.1
SNWYGJP2,Jindabyne Pump At Guthega,NEM,NSW1,-36.434918,148.63057,pumps,70.0
JBUTTERS,John Butters,NEM,TAS1,-42.154894,145.534508,hydro,144.0
JOUNAMA,Jounama,NEM,NSW1,-35.562015,148.305493,hydro,14.0
JUNEESF,Junee,NEM,NSW1,-34.814929,147.572334,solar_utility,36.0
KABANWF,Kaban,NEM,QLD1,-17.560606,145.413125,wind,156.0
KARSF,Karadoc,NEM,VIC1,-34.411851,142.250443,solar_utility,104.0
KAREEYA,Kareeya,NEM,QLD1,-17.767013,145.577993,hydro,91.0
KEEPIT,Keepit,NEM,NSW1,-30.87868,150.491876,hydro,6.0
KENNEDY,Kennedy Energy Park,NEM,QLD1,-20.872792,144.413034,"battery_charging, battery_discharging, solar_utility, wind",63.2
KERNGSP,Kerang,NEM,VIC1,-35.779895,143.941051,solar_utility,37.0
KIAMSF1,Kiamal,NEM,VIC1,-35.021508,142.297971,solar_utility,239.0
KIATAWF,Kiata,NEM,VIC1,-36.397288,141.747394,wind,31.0
KSP1,Kidston,NEM,QLD1,-18.889381,144.14246,solar_utility,50.0
KINGASF,Kingaroy,NEM,QLD1,-26.537087,151.890398,solar_utility,47.0
KOGANCK,Kogan Creek,NEM,QLD1,-26.915285,150.748948,coal_black,744.0
KESS1,Koorangie,NEM,VIC1,-35.735367,143.754813,"battery, battery_charging, battery_discharging",555.0
LADBROKE,Ladbroke Grove,NEM,SA1,-37.456341,140.782163,gas_ocgt,80.0
LBBESS,Lake Bonney,NEM,SA1,-37.738979,140.38681,"battery, battery_charging, battery_discharging",75.0
LKBONNY1,Lake Bonney,NEM,SA1,-37.760504,140.405541,wind,80.5
LKBONNY_2,Lake Bonney 2,NEM,SA1,-37.760504,140.405541,wind,159.0
LKBONNY3,Lake Bonney 3,NEM,SA1,-37.760504,140.405541,wind,39.0
LK_ECHO,Lake Echo,NEM,TAS1,-42.253643,146.620627,hydro,32.4
LVES,Latrobe Valley,NEM,VIC1,-38.258183,146.418614,"battery, battery_charging, battery_discharging",420.0
LNGS,Laverton North,NEM,VIC1,-37.841703,144.788796,gas_ocgt,312.0
LEM_WIL,Lemonthyme / Wilmot,NEM,TAS1,-41.603738,146.13894,hydro,81.6
LDBESS,Liddell,NEM,NSW1,-32.37564,150.978578,"battery, battery_charging, battery_discharging",2265.2400000000002
LILYVASF,Lilyvale,NEM,QLD1,-23.084225,148.425994,solar_utility,118.0
LIMBESS,Limondale,NEM,NSW1,-34.769354,143.559464,"battery, battery_charging, battery_discharging",423.0
LIMOSF1,Limondale,NEM,NSW1,-34.771747,143.500494,solar_utility,275.0
LIMOSF2,Limondale 2,NEM,NSW1,-34.775502,143.508046,solar_utility,38.0
LGAPWF1,Lincoln Gap,NEM,SA1,-32.564612,137.557203,"battery, battery_charging, battery_discharging, wind",244.4
LONGFORD,Longford,NEM,VIC1,-38.223244,147.1631,gas_ocgt,13.0
LRSF,Longreach,NEM,QLD1,-23.446178,144.35918,solar_utility,17.0
LONSDALE,Lonsdale,NEM,SA1,-35.109703,138.490992,distillate,20.0
