unit_code,unit_code_display,facility_code,facility_name,network_region,fueltech_id,dispatch_type,unit_status,capacity_registered
ADPBA1G,0ADPBA1G,ADP,Adelaide Desalination,SA1,battery_discharging,GENERATOR,operating,7.76
ADPPV1,ADPPV1,ADP,Adelaide Desalination,SA1,solar_utility,GENERATOR,operating,24.75
ADPBA1,ADPBA1,ADP,Adelaide Desalination,SA1,battery,BIDIRECTIONAL,operating,7.76
ADPBA1L,0ADPBA1L,ADP,Adelaide Desalination,SA1,battery_charging,LOAD,operating,7.76
ADPPV2,ADPPV2,ADP,Adelaide Desalination,SA1,solar_utility,GENERATOR,operating,0.2
ADPMH1,ADPMH1,ADP,Adelaide Desalination,SA1,hydro,GENERATOR,operating,1.44
ADPPV3,ADPPV3,ADP,Adelaide Desalination,SA1,solar_utility,GENERATOR,operating,0.02
ALDGASF1,ALDGASF1,ALDGASF,Aldoga,QLD1,solar_utility,GENERATOR,operating,535.21
ANGAST1,ANGAST1,ANGASTON,Angaston,SA1,distillate,GENERATOR,operating,50.0
APPIN,APPIN,APPIN,Appin,NSW1,gas_wcmg,GENERATOR,operating,55.6
ARWF1,ARWF1,ARWF,Ararat,VIC1,wind,GENERATOR,operating,241.59
AVLSF1,AVLSF1,AVLSF,Avonlie,NSW1,solar_utility,GENERATOR,operating,254.1
BDL01,BDL01,DEIBDL,Bairnsdale,VIC1,gas_ocgt,GENERATOR,operating,46.0
BDL02,BDL02,DEIBDL,Bairnsdale,VIC1,gas_ocgt,GENERATOR,operating,46.0
BAKING1,BAKING1,BAKING,Baking Board,QLD1,solar_utility,GENERATOR,operating,17.5
BALDHWF1,BALDHWF1,BHWF,Bald Hills,VIC1,wind,GENERATOR,operating,106.6
BALBG1,0BALBG1,BALBESS,Ballarat,VIC1,battery_discharging,GENERATOR,operating,30.0
BALB1,BALB1,BALBESS,Ballarat,VIC1,battery,BIDIRECTIONAL,operating,30.0
BALBL1,0BALBL1,BALBESS,Ballarat,VIC1,battery_charging,LOAD,operating,30.0
BANGOWF2,BANGOWF2,BANGOWF,Bango,NSW1,wind,GENERATOR,operating,84.8
BANGOWF1,BANGOWF1,BANGOWF,Bango,NSW1,wind,GENERATOR,operating,159.0
BAPS,BAPS,BAPS,Banimboola,VIC1,hydro,GENERATOR,operating,12.85
BANN1,BANN1,BANNSP,Bannerton,VIC1,solar_utility,GENERATOR,operating,100.0
BARCALDN,BARCALDN,BARCALDN,Barcaldine,QLD1,gas_ccgt,GENERATOR,operating,37.0
BARCSF1,BARCSF1,BARCSF,Barcaldine,QLD1,solar_utility,GENERATOR,operating,20.0
BARKIPS1,BARKIPS1,BARKIPS,Barker Inlet,SA1,gas_recip,GENERATOR,operating,211.0
BARRON-2,BARRON-2,BARRON,Barron Gorge,QLD1,hydro,GENERATOR,operating,30.0
BARRON-1,BARRON-1,BARRON,Barron Gorge,QLD1,hydro,GENERATOR,operating,30.0
BASTYAN,BASTYAN,BASTYAN,Bastyan,TAS1,hydro,GENERATOR,operating,79.9
BW01,BW01,BAYSW,Bayswater,NSW1,coal_black,GENERATOR,operating,660.0
BW03,BW03,BAYSW,Bayswater,NSW1,coal_black,GENERATOR,operating,660.0
BW04,BW04,BAYSW,Bayswater,NSW1,coal_black,GENERATOR,operating,660.0
BW02,BW02,BAYSW,Bayswater,NSW1,coal_black,GENERATOR,operating,660.0
TVPP104,TVPP104,BBP31,Bell Bay Three,TAS1,gas_ocgt,GENERATOR,operating,58.0
BBTHREE3,BBTHREE3,BBP31,Bell Bay Three,TAS1,gas_ocgt,GENERATOR,operating,35.0
BBTHREE1,BBTHREE1,BBP31,Bell Bay Three,TAS1,gas_ocgt,GENERATOR,operating,35.0
BBTHREE2,BBTHREE2,BBP31,Bell Bay Three,TAS1,gas_ocgt,GENERATOR,operating,35.0
BRYB2WF2,BRYB2WF2,BRYB1WF1,Berrybank,VIC1,wind,GENERATOR,operating,109.0
BRYB1WF1,BRYB1WF1,BRYB1WF1,Berrybank,VIC1,wind,GENERATOR,operating,180.6
BERYLSF1,BERYLSF1,BERYLSF,Beryl,NSW1,solar_utility,GENERATOR,operating,98.0
GULLRWF2,GULLRWF2,BIALAWF,Biala,NSW1,wind,GENERATOR,operating,110.0
BLAYNEY,BLAYNEY,BLAYNEY,Blayney,NSW1,wind,GENERATOR,operating,9.9
BLOWERNG,BLOWERNG,SNOWY6,Blowering,NSW1,hydro,GENERATOR,operating,80.0
BLUEGSF1,BLUEGSF1,BLUEGSF,Blue Grass,QLD1,solar_utility,GENERATOR,operating,183.0
BLYTHB1G1,0BLYTHB1G1,BLYTHB,Blyth,SA1,battery_discharging,GENERATOR,operating,281.0
BLYTHB1L1,0BLYTHB1L1,BLYTHB,Blyth,SA1,battery_charging,LOAD,operating,281.0
BLYTHB1,BLYTHB1,BLYTHB,Blyth,SA1,battery,BIDIRECTIONAL,operating,281.0
BOCORWF1,BOCORWF1,BOCOROCK,Boco Rock,NSW1,wind,GENERATOR,operating,113.18
BODWF1,BODWF1,BODWF,Bodangora,NSW1,wind,GENERATOR,operating,113.19
MCKAY1,MCKAY1,MCKAY,Bogong / Mackay,VIC1,hydro,GENERATOR,operating,300.0
BOWWPV1,BOWWPV1,BOLIVAR,Bolivar,SA1,solar_utility,GENERATOR,operating,8.25
BOWWBA1G,0BOWWBA1G,BOLIVAR,Bolivar,SA1,battery_discharging,GENERATOR,operating,3.08
BOWWBA1L,0BOWWBA1L,BOLIVAR,Bolivar,SA1,battery_charging,LOAD,operating,3.08
BOWWBA1,BOWWBA1,BOLIVAR,Bolivar,SA1,battery,BIDIRECTIONAL,operating,3.0
BOLIVAR1,BOLIVAR1,BOLIVAR,Bolivar,SA1,bioenergy_biogas,GENERATOR,operating,9.9
BOLIVPS1,BOLIVPS1,BOLIVPS,Bolivar,SA1,gas_ocgt,GENERATOR,operating,128.0
BOMENSF1,BOMENSF1,BOMENSF,Bomen,NSW1,solar_utility,GENERATOR,operating,121.0
BBATTERY1,BBATTERY1,BBATTERY,Bouldercombe,QLD1,battery,BIDIRECTIONAL,operating,67.0
BBATTERYL1,0BBATTERYL1,BBATTERY,Bouldercombe,QLD1,battery_charging,LOAD,operating,67.0
BBATTERYG1,0BBATTERYG1,BBATTERY,Bouldercombe,QLD1,battery_discharging,GENERATOR,operating,67.0
BRAEMAR3,BRAEMAR3,BRAEMARA,Braemar,QLD1,gas_ocgt,GENERATOR,operating,168.0
BRAEMAR1,BRAEMAR1,BRAEMARA,Braemar,QLD1,gas_ocgt,GENERATOR,operating,168.0
BRAEMAR2,BRAEMAR2,BRAEMARA,Braemar,QLD1,gas_ocgt,GENERATOR,operating,168.0
BRAEMAR5,BRAEMAR5,B2PS,Braemar 2,QLD1,gas_ocgt,GENERATOR,operating,173.0
BRAEMAR6,BRAEMAR6,B2PS,Braemar 2,QLD1,gas_ocgt,GENERATOR,operating,173.0
BRAEMAR7,BRAEMAR7,B2PS,Braemar 2,QLD1,gas_ocgt,GENERATOR,operating,173.0
BRNDBES1,BRNDBES1,BRNDBES,Brendale,QLD1,battery,BIDIRECTIONAL,operating,215.0
BRNDBESL1,0BRNDBESL1,BRNDBES,Brendale,QLD1,battery_charging,LOAD,operating,215.0
BRNDBESG1,0BRNDBESG1,BRNDBES,Brendale,QLD1,battery_discharging,GENERATOR,operating,215.0
